step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.350666539781287,0,0.0,0.9092284765767861,0,0.0
10.0,0,0.0,0.0,12.18362960837476,0,0.0,0.9016263894334452,0,0.0
15.0,2,2.0,0.1111111111111111,7.596766002978076,2,2.0,0.4586631899295162,2,2.0
20.0,7,30.0,1.6666666666666667,8.092005920196828,7,30.0,0.38810018077620045,7,30.0
25.0,4,39.0,1.7727272727272727,6.555537101316082,4,46.0,0.3677093511144334,4,46.0
30.0,6,69.0,3.6315789473684212,8.445984203201807,6,69.0,0.45752050193730276,6,69.0
35.0,3,41.0,1.7826086956521738,7.867099749357474,3,57.0,0.37681944222602387,3,57.0
40.0,6,68.0,2.8333333333333335,8.457898431017368,6,68.0,0.5478566062452207,6,68.0
45.0,2,60.0,2.3076923076923075,7.819995104759779,2,75.0,0.5340276982538229,2,75.0
50.0,3,72.0,2.769230769230769,8.473415544838648,3,72.0,0.5226667697987784,3,72.0
55.0,6,94.0,3.6153846153846154,7.210016509946233,6,97.0,0.4237893474629477,6,97.0
60.0,9,132.0,6.285714285714286,5.593627245922359,9,132.0,0.2838226422753189,9,132.0
65.0,7,136.0,5.230769230769231,5.5834383889692,7,156.0,0.3139478533169796,7,156.0
70.0,6,165.0,7.173913043478261,6.707469465456468,6,166.0,0.3698434583132911,6,166.0
75.0,5,128.0,3.764705882352941,7.804312750580776,5,152.0,0.49230957308744006,5,152.0
80.0,9,166.0,5.354838709677419,8.398842750789541,9,168.0,0.5082205455801359,9,168.0
85.0,6,155.0,4.5588235294117645,5.367938639681338,6,189.0,0.2950751077335914,6,189.0
90.0,10,185.0,5.967741935483871,6.487728366244254,10,204.0,0.33110841127872825,10,204.0
95.0,9,204.0,6.375,6.104601704922124,9,236.0,0.31186473918005164,9,236.0
100.0,15,266.0,8.866666666666667,5.097158036839564,15,285.0,0.20641622832900827,15,285.0
105.0,16,307.0,9.59375,4.707165986912505,16,336.0,0.21494484620193405,16,336.0
110.0,18,396.0,11.647058823529411,5.2950761409241895,18,415.0,0.28537085366191967,18,415.0
115.0,14,369.0,10.25,5.563873023009643,14,447.0,0.3009595806365379,14,447.0
120.0,6,291.0,8.314285714285715,6.853602272621282,6,418.0,0.3530683339421699,6,418.0
125.0,7,19.0,0.5277777777777778,6.372564236520303,7,202.0,0.2788610366633538,7,202.0
130.0,13,75.0,2.34375,4.837696426821743,13,180.0,0.2346135189885548,13,180.0
135.0,14,101.0,2.9705882352941178,3.7712667505478,14,204.0,0.17363862461603544,14,204.0
140.0,10,122.0,3.696969696969697,5.711912687518763,10,187.0,0.2872143012180907,10,187.0
145.0,8,157.0,4.131578947368421,7.787820509846172,8,181.0,0.3885457261841311,8,181.0
150.0,8,94.0,2.41025641025641,7.523712962860063,8,163.0,0.46708822317543447,8,163.0
155.0,14,150.0,4.411764705882353,5.674877331795407,14,170.0,0.25891372127040096,14,170.0
160.0,16,180.0,4.7368421052631575,4.749994100730996,16,219.0,0.21303132755641588,16,219.0
165.0,12,217.0,6.575757575757576,4.359409646129802,12,252.0,0.1681670345995121,12,252.0
170.0,12,80.0,2.1052631578947367,5.228109367614772,12,225.0,0.26486066131980135,12,225.0
175.0,14,110.0,3.3333333333333335,4.520298197942838,14,175.0,0.1875450868612526,14,175.0
180.0,17,132.0,3.6666666666666665,4.2774566079824865,17,223.0,0.1754235270166141,17,223.0
185.0,12,138.0,3.6315789473684212,5.592340751576921,12,238.0,0.2767279794816898,12,238.0
190.0,13,135.0,3.375,5.550415493829473,13,238.0,0.30963186463657344,13,238.0
195.0,20,222.0,5.842105263157895,4.08569401092495,20,325.0,0.11772820387204128,20,325.0
200.0,20,216.0,5.4,4.055093906156888,20,368.0,0.16656096399642753,20,368.0
205.0,20,296.0,8.0,3.668670080116577,20,387.0,0.13333262143567118,20,387.0
210.0,20,287.0,7.175,4.055773174060564,20,432.0,0.1822797021744223,20,432.0
215.0,13,198.0,5.351351351351352,4.077120025422022,13,407.0,0.11939063108212265,13,407.0
220.0,10,179.0,3.891304347826087,7.408631081668264,10,339.0,0.4135216786316988,10,339.0
225.0,8,82.0,1.9069767441860466,6.6930698168288485,8,251.0,0.3728411488799843,8,251.0
230.0,15,140.0,3.3333333333333335,4.683491500933635,15,309.0,0.2630020642441946,15,309.0
235.0,18,187.0,4.675,2.5930446239228226,18,349.0,0.11572461905283432,18,349.0
240.0,17,234.0,5.571428571428571,4.252420518931565,17,350.0,0.20293444604396965,17,350.0
245.0,14,293.0,6.976190476190476,5.532410035987768,14,349.0,0.1965051448778117,14,349.0
250.0,10,136.0,3.317073170731707,5.302232996555225,10,312.0,0.2788220497046407,10,312.0
255.0,11,119.0,2.7674418604651163,5.892780775619959,11,222.0,0.31099431823083434,11,222.0
260.0,17,191.0,4.340909090909091,6.2319626328183295,17,229.0,0.27504409396536394,17,229.0
265.0,17,208.0,4.9523809523809526,4.422659890482424,17,280.0,0.1680332828407179,17,280.0
270.0,15,194.0,4.619047619047619,5.314223988366327,15,296.0,0.23641139081505863,15,296.0
275.0,10,223.0,5.717948717948718,6.447209688594856,10,284.0,0.24843537587503023,10,284.0
280.0,8,63.0,1.6153846153846154,6.517303212574967,8,240.0,0.35613512699312366,8,240.0
285.0,12,86.0,2.5294117647058822,4.8867260901543,12,172.0,0.19738982971399907,12,172.0
290.0,15,116.0,2.761904761904762,5.781263018129344,15,201.0,0.30493503668708594,15,201.0
295.0,9,125.0,3.2051282051282053,6.9525227912251175,9,192.0,0.41544037015223434,9,192.0
300.0,8,143.0,3.6666666666666665,6.047539791726106,8,195.0,0.2980696029963041,8,195.0
305.0,16,209.0,5.358974358974359,5.148746824467608,16,261.0,0.2101697693388134,16,261.0
310.0,17,259.0,7.4,2.8552739168473344,17,319.0,0.1224797306897097,17,319.0
315.0,14,297.0,8.25,5.231894227436214,14,340.0,0.2509705497852187,14,340.0
320.0,8,95.0,2.5,5.8589721491324385,8,281.0,0.26278038596024905,8,281.0
325.0,9,75.0,1.9230769230769231,6.384415461807336,9,171.0,0.3376421344991023,9,171.0
330.0,9,78.0,2.0526315789473686,5.110614864417931,9,169.0,0.23240231682569773,9,169.0
335.0,9,94.0,2.5405405405405403,6.157912470522208,9,180.0,0.351580467353541,9,180.0
340.0,11,138.0,3.72972972972973,4.828265500537253,11,220.0,0.19558309053234277,11,220.0
345.0,18,216.0,5.837837837837838,4.360781920519082,18,298.0,0.1797780478586126,18,298.0
350.0,19,268.0,7.444444444444445,3.0068695276026225,19,368.0,0.1007936177959752,19,368.0
355.0,14,290.0,8.055555555555555,4.648185283241237,14,402.0,0.24077263637306998,14,402.0
360.0,14,228.0,6.333333333333333,3.426243240136783,14,350.0,0.09528683920593341,14,350.0
365.0,21,317.0,7.204545454545454,4.967225218609428,21,439.0,0.29832947503789364,21,439.0
370.0,27,439.0,10.452380952380953,2.6621850079514666,27,561.0,0.15143452910128538,27,561.0
375.0,31,509.0,11.065217391304348,2.041852270170223,31,665.0,0.13805214073391422,31,665.0
380.0,25,537.0,11.673913043478262,2.5458068715891375,25,719.0,0.09242977953883078,25,719.0
385.0,24,589.0,11.326923076923077,3.764675177554063,24,828.0,0.17738290857785508,24,828.0
390.0,29,718.0,15.27659574468085,2.018240427415849,29,961.0,0.09556437464197277,29,961.0
395.0,31,811.0,16.22,1.8925833405350183,31,1056.0,0.08815841007836331,31,1056.0
400.0,28,890.0,16.48148148148148,3.4394088222960817,28,1100.0,0.16977717701214032,28,1100.0
405.0,25,984.0,16.96551724137931,4.10207397186312,25,1188.0,0.1856320543722837,25,1188.0
410.0,30,1115.0,20.272727272727273,2.065916736867334,30,1326.0,0.10613339303880112,30,1326.0
415.0,35,1246.0,22.25,1.6995581393304466,35,1447.0,0.10970947870760046,35,1447.0
420.0,32,1370.0,24.464285714285715,2.0087814020100248,32,1524.0,0.0604467645870871,32,1524.0
425.0,27,955.0,15.403225806451612,3.8181914985985523,27,1425.0,0.15740477277952344,27,1425.0
430.0,21,441.0,7.603448275862069,3.5651509004959765,21,1163.0,0.12280899780954824,21,1163.0
435.0,20,417.0,6.318181818181818,5.71272395115628,20,829.0,0.29810283157299483,20,829.0
440.0,28,539.0,8.693548387096774,5.116854647688722,28,741.0,0.2259208781191449,28,741.0
445.0,29,583.0,9.253968253968255,3.9087081738058247,29,788.0,0.16760893539176755,29,788.0
450.0,31,606.0,10.448275862068966,3.1745361552002835,31,849.0,0.08890239369650033,31,849.0
455.0,27,647.0,11.155172413793103,3.055473619259189,27,963.0,0.11131623175376178,27,963.0
460.0,29,729.0,13.017857142857142,2.437640409713268,29,1103.0,0.09324615548904494,29,1103.0
465.0,29,835.0,14.910714285714286,2.0879853862399327,29,1196.0,0.10136931615384612,29,1196.0
470.0,27,929.0,15.229508196721312,3.3801208316572744,27,1241.0,0.17012686574600108,27,1241.0
475.0,21,506.0,8.031746031746032,4.305187175984263,21,1125.0,0.20258957315308931,21,1125.0
480.0,20,331.0,5.516666666666667,3.2863280160909927,20,897.0,0.12044970334346138,20,897.0
485.0,27,450.0,7.5,4.534544343351643,27,763.0,0.17443286889732657,27,763.0
490.0,31,522.0,9.0,2.34191781586451,31,846.0,0.046510422021139045,31,846.0
495.0,30,584.0,10.24561403508772,3.098829049725651,30,880.0,0.11055487825087851,30,880.0
500.0,26,655.0,11.491228070175438,3.8063336094198394,26,878.0,0.09143071545859748,26,878.0
505.0,21,396.0,6.947368421052632,4.553415623812408,21,847.0,0.2452507794166937,21,847.0
510.0,13,122.0,2.1403508771929824,5.161371269198474,13,672.0,0.28891961993444387,13,672.0
515.0,17,188.0,3.2982456140350878,4.932283408600026,17,485.0,0.2317582515041438,17,485.0
520.0,23,219.0,3.7758620689655173,2.921437570652343,23,525.0,0.10273759575070468,23,525.0
525.0,25,251.0,4.482142857142857,3.3849485361365135,25,549.0,0.09450794608981326,25,549.0
530.0,29,311.0,5.362068965517241,3.191061094343051,29,649.0,0.10538844389931347,29,649.0
535.0,27,402.0,7.730769230769231,2.361582673754334,27,791.0,0.10224351391018076,27,791.0
540.0,24,472.0,9.076923076923077,1.7369224087125734,24,862.0,0.07656992443045633,24,862.0
545.0,25,547.0,9.431034482758621,3.5058034328003895,25,881.0,0.18386447394124517,25,881.0
550.0,15,327.0,5.45,3.60626243172377,15,824.0,0.15794016948414805,15,824.0
555.0,19,346.0,5.864406779661017,3.844654398278089,19,732.0,0.15280535376307358,19,732.0
560.0,25,460.0,8.070175438596491,3.818232423399569,25,785.0,0.10114049269679962,25,785.0
565.0,28,523.0,9.017241379310345,3.1442911558960613,28,852.0,0.0937505267740197,28,852.0
570.0,24,566.0,10.481481481481481,3.2150278630426032,24,867.0,0.1199129976026482,24,867.0
575.0,23,632.0,11.924528301886792,4.0053274367451355,23,860.0,0.10344441584318667,23,860.0
580.0,17,355.0,6.016949152542373,5.05121189769919,17,807.0,0.27021558855171474,17,807.0
585.0,12,71.0,1.3396226415094339,5.057029120327913,12,603.0,0.28124437634552585,12,603.0
590.0,15,98.0,1.719298245614035,4.832058213103994,15,394.0,0.21402111948046249,15,394.0
595.0,23,123.0,2.2777777777777777,3.4200458762134605,23,441.0,0.12399428411378603,23,441.0
600.0,25,140.0,2.5925925925925926,3.610027854450693,25,433.0,0.11085641686112511,25,433.0
605.0,23,164.0,3.0943396226415096,3.539683988733339,23,505.0,0.12705548935473962,23,505.0
610.0,22,220.0,4.313725490196078,2.688122718898081,22,617.0,0.10309397833785386,22,617.0
615.0,22,276.0,5.2075471698113205,3.307071751589309,22,670.0,0.19528613376038462,22,670.0
620.0,18,337.0,6.2407407407407405,3.8987092771944276,18,672.0,0.2079700697755349,18,672.0
625.0,15,283.0,4.879310344827586,3.6419878811030917,15,651.0,0.13813179428589645,15,651.0
630.0,21,367.0,6.553571428571429,3.97007637402648,21,678.0,0.1491992746627822,21,678.0
635.0,24,438.0,8.264150943396226,2.9587224119248297,24,736.0,0.088211530719546,24,736.0
640.0,20,503.0,9.49056603773585,3.164040485179749,20,752.0,0.14287312925069184,20,752.0
645.0,17,576.0,10.867924528301886,3.8886122253212565,17,764.0,0.12434405284576816,17,764.0
650.0,14,340.0,5.666666666666667,5.045007749596991,14,676.0,0.2780786303776749,14,676.0
655.0,7,50.0,0.9090909090909091,5.347564501039558,7,471.0,0.31183174831508553,7,471.0
660.0,13,93.0,1.690909090909091,5.2612813149600655,13,307.0,0.25140131405630367,13,307.0
665.0,21,117.0,2.1272727272727274,3.0392155353790145,21,348.0,0.11741164951982093,21,348.0
670.0,24,150.0,2.727272727272727,3.260060944636842,24,377.0,0.09618089311686302,24,377.0
675.0,25,216.0,3.9272727272727272,4.310566773762476,25,437.0,0.14565827162323786,25,437.0
680.0,19,245.0,4.711538461538462,4.0421101382099485,19,509.0,0.174796095973078,19,509.0
685.0,25,345.0,6.764705882352941,3.577853472011142,25,615.0,0.19599531453971286,25,615.0
690.0,26,433.0,8.169811320754716,3.2916037175214763,26,715.0,0.1894363825228966,26,715.0
695.0,25,505.0,9.181818181818182,2.7485417249208832,25,775.0,0.1199315664022191,25,775.0
700.0,22,391.0,6.741379310344827,2.8798920429209907,22,796.0,0.10986041882928849,22,796.0
705.0,26,488.0,8.714285714285714,2.671098805316064,26,806.0,0.08435913665477833,26,806.0
710.0,28,569.0,9.982456140350877,2.8901953700903036,28,899.0,0.09692127386474038,28,899.0
715.0,24,634.0,11.321428571428571,3.229457421957444,24,946.0,0.1088635320529293,24,946.0
720.0,24,699.0,12.944444444444445,3.0162782055602038,24,1004.0,0.0869421312267211,24,1004.0
725.0,26,796.0,12.838709677419354,3.82849623843167,26,1128.0,0.19650564748413982,26,1128.0
730.0,25,889.0,15.596491228070175,2.869438902090058,25,1211.0,0.17202366227368154,25,1211.0
735.0,25,974.0,15.967213114754099,2.8697481230641686,25,1253.0,0.13625503071261374,25,1253.0
740.0,26,1090.0,17.580645161290324,2.4936630337060968,26,1364.0,0.0673837796962503,26,1364.0
745.0,35,1244.0,19.746031746031747,2.217237365350419,35,1518.0,0.09629391135996042,35,1518.0
750.0,33,1370.0,22.833333333333332,1.6156988343198444,33,1645.0,0.07395164295662982,33,1645.0
755.0,32,1486.0,23.967741935483872,2.0252649987818727,32,1732.0,0.07470041448861553,32,1732.0
760.0,31,1624.0,23.88235294117647,2.9366606280304883,31,1868.0,0.1348329692086732,31,1868.0
765.0,39,1792.0,26.746268656716417,2.0515876442673964,39,2045.0,0.11166037100917452,39,2045.0
770.0,38,1940.0,29.393939393939394,1.3964403883683933,38,2195.0,0.0888804497717657,38,2195.0
775.0,40,2092.0,29.885714285714286,2.06827599247813,40,2302.0,0.07208240058354523,40,2302.0
780.0,33,1574.0,22.169014084507044,2.5495171521093583,33,2181.0,0.07440722876067789,33,2181.0
785.0,27,755.0,10.633802816901408,2.824899410225281,27,1691.0,0.09846827007581138,27,1691.0
790.0,25,458.0,6.735294117647059,3.8494530261747193,25,1308.0,0.1388943109140732,25,1308.0
795.0,30,496.0,6.613333333333333,3.7923099649291285,30,1440.0,0.2155230732913948,30,1440.0
800.0,41,679.0,9.430555555555555,2.2574088979941993,41,1623.0,0.13681832759380316,41,1623.0
805.0,50,785.0,10.753424657534246,0.9681854881292987,50,1794.0,0.06079187608653471,50,1794.0
810.0,56,870.0,11.756756756756756,1.6510214321809527,56,1959.0,0.053701686098614844,56,1959.0
815.0,47,589.0,7.95945945945946,2.0782654105242173,47,2032.0,0.05786274662367785,47,2032.0
820.0,37,515.0,7.054794520547945,2.979362885512593,37,1992.0,0.11055050784617315,37,1992.0
825.0,45,615.0,8.91304347826087,1.9364695212916299,45,2162.0,0.05105026054527291,45,2162.0
