step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.401741859253654,0,0.0,0.9606195174985689,0,0.0
10.0,0,0.0,0.0,11.739443591086983,0,0.0,0.8496338771179207,0,0.0
15.0,3,5.0,0.2777777777777778,7.806514469760996,3,5.0,0.45711970020539994,3,5.0
20.0,8,43.0,2.388888888888889,7.481737642307095,8,43.0,0.4073943146968141,8,43.0
25.0,4,40.0,2.0,5.014683588969022,4,56.0,0.36838513277866464,4,56.0
30.0,10,84.0,4.2,6.501795921611264,10,84.0,0.34959410137408536,10,84.0
35.0,6,100.0,4.166666666666667,5.994028079399713,6,111.0,0.3116159841121216,6,111.0
40.0,8,135.0,5.1923076923076925,8.179419306136285,8,135.0,0.5018228242871511,8,135.0
45.0,2,58.0,1.9333333333333333,8.374771156718602,2,107.0,0.5014477778794906,2,107.0
50.0,6,81.0,2.892857142857143,8.440706079510376,6,81.0,0.40342241681781316,6,81.0
55.0,6,95.0,3.392857142857143,7.2706570310862935,6,107.0,0.35644228942139133,6,107.0
60.0,6,125.0,5.434782608695652,8.262327690803886,6,125.0,0.38870353114614303,6,125.0
65.0,3,101.0,3.8846153846153846,8.457145470920542,3,124.0,0.45237003430281597,3,124.0
70.0,8,133.0,6.333333333333333,7.92226766640636,8,133.0,0.3797269231737505,8,133.0
75.0,11,178.0,5.933333333333334,7.116218571309354,11,178.0,0.42893503866455257,11,178.0
80.0,8,180.0,6.923076923076923,7.003298940616516,8,209.0,0.49643408134836225,8,209.0
85.0,7,205.0,6.40625,6.629664929858684,7,205.0,0.37223919055879273,7,205.0
90.0,10,178.0,5.5625,6.329694863749961,10,215.0,0.28531781478655777,10,215.0
95.0,13,239.0,7.966666666666667,5.908828800997113,13,239.0,0.27881579582630217,13,239.0
100.0,12,262.0,8.733333333333333,5.514590755255542,12,286.0,0.2712774583950584,12,286.0
105.0,10,307.0,9.903225806451612,6.938451636216019,10,312.0,0.3658091608957502,10,312.0
110.0,8,266.0,7.823529411764706,6.941893522811066,8,312.0,0.3852121035541566,8,312.0
115.0,14,331.0,10.34375,6.289459555241276,14,336.0,0.32179669104211206,14,336.0
120.0,13,352.0,11.0,4.804679214863493,13,382.0,0.24632356720424553,13,382.0
125.0,14,404.0,12.625,5.154039419728219,14,416.0,0.2734434129615351,14,416.0
130.0,10,442.0,13.0,6.362335396678919,10,458.0,0.29476235736864603,10,458.0
135.0,18,517.0,15.205882352941176,4.794319564396151,18,523.0,0.18227231273092784,18,523.0
140.0,16,568.0,17.75,4.437109470984332,16,592.0,0.23107341349307625,16,592.0
145.0,13,618.0,18.176470588235293,5.88726454841915,13,631.0,0.3468323202712688,13,631.0
150.0,10,448.0,11.2,6.260292902646691,10,595.0,0.382756891414179,10,595.0
155.0,12,454.0,12.61111111111111,5.698319428264229,12,515.0,0.3148766443947027,12,515.0
160.0,17,477.0,11.925,4.8214626504992015,17,544.0,0.21802603942220639,17,544.0
165.0,15,526.0,14.216216216216216,5.393471168494452,15,571.0,0.1706283834430221,15,571.0
170.0,15,563.0,14.435897435897436,5.567484834822152,15,623.0,0.2495233118248626,15,623.0
175.0,21,652.0,18.62857142857143,4.398719019191977,21,697.0,0.15020181749191477,21,697.0
180.0,20,651.0,18.6,3.5848095328777196,20,736.0,0.15092950188648435,20,736.0
185.0,19,730.0,19.72972972972973,4.6197525253775,19,758.0,0.23935516219920483,19,758.0
190.0,16,723.0,17.634146341463413,5.553379373349873,16,798.0,0.312517730635483,16,798.0
195.0,10,664.0,16.195121951219512,5.17282703577578,10,783.0,0.1913947365351985,10,783.0
200.0,11,53.0,1.358974358974359,5.222976229815606,11,484.0,0.2618082239725301,11,484.0
205.0,18,125.0,3.4722222222222223,3.445527071387156,18,244.0,0.12259941196265682,18,244.0
210.0,19,163.0,4.17948717948718,4.162534728847787,19,286.0,0.2041930405644583,19,286.0
215.0,13,178.0,4.8108108108108105,4.472468183949789,13,274.0,0.15146972495731303,13,274.0
220.0,11,217.0,4.931818181818182,8.077760369405341,11,257.0,0.449502203413235,11,257.0
225.0,9,152.0,3.8974358974358974,6.595722264303221,9,247.0,0.37261531952468746,9,247.0
230.0,18,220.0,5.365853658536586,5.042591397105789,18,260.0,0.1782880129362964,18,260.0
235.0,19,273.0,7.0,4.636894845960324,19,331.0,0.16232001465029228,19,331.0
240.0,14,306.0,8.27027027027027,4.953341455391702,14,362.0,0.21595470724675073,14,362.0
245.0,7,107.0,2.891891891891892,5.604189094327339,7,298.0,0.23092941094869113,7,298.0
250.0,8,61.0,1.6944444444444444,5.7421254896362655,8,179.0,0.2548964326418415,8,179.0
255.0,11,76.0,1.9487179487179487,5.622415935230907,11,158.0,0.2963148453793896,11,158.0
260.0,9,83.0,2.075,7.122069114252954,9,165.0,0.3860161460112376,9,165.0
265.0,12,123.0,3.324324324324324,5.821942500586221,12,207.0,0.28989034581343576,12,207.0
270.0,17,194.0,5.388888888888889,4.176761613323238,17,278.0,0.18736120982098356,17,278.0
275.0,17,237.0,6.970588235294118,2.764577585863769,17,337.0,0.10639919944034244,17,337.0
280.0,13,264.0,6.947368421052632,5.002510618459297,13,364.0,0.25449207463744966,13,364.0
285.0,11,313.0,8.45945945945946,6.580594745223582,11,373.0,0.2596134200635116,11,373.0
290.0,9,176.0,4.190476190476191,6.967142300100623,9,330.0,0.40287973618287687,9,330.0
295.0,8,153.0,3.923076923076923,7.223290373839614,8,236.0,0.4342566891111076,8,236.0
