step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.678683804336012,0,0.0,0.930896118064738,0,0.0
10.0,0,0.0,0.0,12.180554925671395,0,0.0,0.8926845709375342,0,0.0
15.0,1,1.0,0.05555555555555555,7.512303556470333,1,1.0,0.43709158651872976,1,1.0
20.0,7,33.0,1.8333333333333333,8.223866572885255,7,33.0,0.4164330014243905,7,33.0
25.0,9,71.0,3.55,4.0754481233658675,9,71.0,0.27608628894481096,9,71.0
30.0,7,73.0,3.8421052631578947,5.005974559292018,7,98.0,0.3574511761019441,7,98.0
35.0,6,99.0,4.304347826086956,7.5367069321238835,6,103.0,0.3871801888241694,6,103.0
40.0,8,134.0,4.620689655172414,9.263310997246775,8,134.0,0.5052896918843337,8,134.0
45.0,3,62.0,2.2142857142857144,8.116405247626178,3,111.0,0.5097164991891703,3,111.0
50.0,7,89.0,3.423076923076923,7.66767504149979,7,89.0,0.43682984096392824,7,89.0
55.0,6,95.0,3.392857142857143,7.089649599148965,6,108.0,0.3444691506758653,6,108.0
60.0,6,125.0,5.208333333333333,8.210239492228885,6,125.0,0.374214960518991,6,125.0
65.0,7,114.0,4.384615384615385,6.927029928984841,7,135.0,0.33604765168226214,7,135.0
70.0,10,161.0,7.318181818181818,6.404625447632651,10,161.0,0.3076130735641028,10,161.0
75.0,8,153.0,4.78125,6.880411796187142,8,185.0,0.4413207299282863,8,185.0
80.0,6,181.0,6.464285714285714,8.942840802998056,6,183.0,0.5775456980641094,6,183.0
85.0,5,146.0,4.294117647058823,7.269244042948589,5,167.0,0.4062602669259664,5,167.0
90.0,13,194.0,6.928571428571429,5.833676479578062,13,196.0,0.2695850577947308,13,196.0
95.0,9,217.0,7.0,5.706250863539814,9,242.0,0.26837984212558313,9,242.0
100.0,10,256.0,9.142857142857142,6.82493494591516,10,263.0,0.37264754278896334,10,263.0
105.0,8,238.0,7.67741935483871,6.498580358896947,8,276.0,0.3206085294748833,8,276.0
110.0,16,298.0,9.030303030303031,6.256200611469016,16,305.0,0.33679597466330147,16,305.0
115.0,17,380.0,11.875,5.057482716048531,17,387.0,0.28188782367214954,17,387.0
120.0,14,388.0,12.933333333333334,3.889016053885837,14,438.0,0.277546702322517,14,438.0
125.0,14,405.0,11.911764705882353,4.906307436288272,14,454.0,0.23786441997752536,14,454.0
130.0,13,452.0,12.555555555555555,5.079496761552825,13,510.0,0.22760477418633898,13,510.0
135.0,20,542.0,15.055555555555555,3.957632588052534,20,591.0,0.15233891036709282,20,591.0
140.0,19,594.0,16.5,4.042741315505033,19,660.0,0.19349412590548,19,660.0
145.0,15,628.0,16.526315789473685,4.985599791849427,15,681.0,0.2672066001082436,15,681.0
150.0,10,455.0,10.340909090909092,6.686907407972339,10,637.0,0.38476631641874953,10,637.0
155.0,12,450.0,11.25,5.531178617156994,12,514.0,0.22639386589811517,12,514.0
160.0,15,480.0,11.162790697674419,4.72274163901935,15,550.0,0.19633536303730148,15,550.0
165.0,17,525.0,13.461538461538462,4.765100928419512,17,589.0,0.1343715285607365,17,589.0
170.0,14,550.0,13.414634146341463,5.104522074170005,14,641.0,0.24679766306894538,14,641.0
175.0,21,641.0,18.314285714285713,3.226388045481905,21,716.0,0.13847419275757594,21,716.0
180.0,20,699.0,18.394736842105264,3.3892664936555637,20,788.0,0.14269362200457497,20,788.0
185.0,17,741.0,18.525,5.0293937410588025,17,825.0,0.26083863787574596,17,825.0
190.0,12,653.0,14.840909090909092,5.221574904338085,12,828.0,0.2760160878063441,12,828.0
195.0,18,705.0,16.785714285714285,4.527907237851975,18,806.0,0.19348311340697336,18,806.0
200.0,23,761.0,17.295454545454547,3.7831839209613265,23,879.0,0.16072028727803395,23,879.0
205.0,20,799.0,19.023809523809526,4.262325882057378,20,912.0,0.1780227267071312,20,912.0
210.0,17,871.0,19.795454545454547,6.165882907363999,17,936.0,0.27748085764205266,17,936.0
215.0,15,875.0,21.341463414634145,4.9732604766441035,15,977.0,0.19591145075355926,15,977.0
220.0,22,967.0,21.02173913043478,5.165911631040264,22,1035.0,0.30358460944622656,22,1035.0
225.0,20,1029.0,23.386363636363637,4.448572054575105,20,1112.0,0.2598396566422841,20,1112.0
230.0,19,1081.0,23.5,4.237769592106241,19,1153.0,0.22548454594760478,19,1153.0
235.0,18,974.0,21.17391304347826,3.472945683678783,18,1162.0,0.13422072938564844,18,1162.0
240.0,21,1018.0,22.622222222222224,3.423895507899686,21,1127.0,0.16289687630476163,21,1127.0
245.0,24,1082.0,23.52173913043478,3.158871017471027,24,1206.0,0.12952631655707475,24,1206.0
250.0,21,1146.0,23.875,4.458827705631363,21,1261.0,0.18885273943289657,21,1261.0
255.0,18,1147.0,22.94,4.649574884234528,18,1300.0,0.23530430202620276,18,1300.0
260.0,24,1255.0,25.1,4.656382826959373,24,1370.0,0.24575141671990997,24,1370.0
265.0,25,1341.0,27.367346938775512,3.132963987780961,25,1469.0,0.1566769194578657,25,1469.0
270.0,25,1413.0,28.836734693877553,3.7416203826394985,25,1536.0,0.18815974595683413,25,1536.0
275.0,17,1330.0,27.142857142857142,3.7252588238158983,17,1524.0,0.13245619238122677,17,1524.0
280.0,17,1341.0,26.82,4.889401505346388,17,1433.0,0.2250419780273519,17,1433.0
285.0,24,1447.0,30.145833333333332,4.407427082903158,24,1510.0,0.1280916084356622,24,1510.0
290.0,26,1504.0,27.85185185185185,4.85763525880627,26,1592.0,0.23965293435411547,26,1592.0
295.0,19,1537.0,30.137254901960784,5.822209315886229,19,1630.0,0.29489773584683177,19,1630.0
300.0,13,1457.0,29.73469387755102,4.312968621938216,13,1614.0,0.1758271754549179,13,1614.0
305.0,20,1541.0,32.104166666666664,4.185360444307721,20,1644.0,0.17147366785334145,20,1644.0
310.0,27,1665.0,35.42553191489362,3.4872789515318647,27,1768.0,0.10960111795224713,27,1768.0
315.0,29,1742.0,37.06382978723404,2.8315863676077653,29,1871.0,0.115518930404727,29,1871.0
320.0,23,1775.0,39.44444444444444,3.509900859908981,23,1918.0,0.15738089172628505,23,1918.0
325.0,21,1842.0,36.11764705882353,4.072718921414318,21,2009.0,0.1858543783869324,21,2009.0
330.0,26,1945.0,41.38297872340426,2.604985917634521,26,2128.0,0.17322060794434788,26,2128.0
335.0,32,2091.0,41.82,1.9959807606640105,32,2274.0,0.12674664509518807,32,2274.0
340.0,35,2193.0,42.17307692307692,1.3895111127224025,35,2390.0,0.06279918252710799,35,2390.0
345.0,32,2261.0,41.10909090909091,2.6172450308154196,32,2443.0,0.08790108266371338,32,2443.0
350.0,27,2083.0,36.54385964912281,3.3107824001246233,27,2480.0,0.1181070655982553,27,2480.0
355.0,22,2065.0,37.54545454545455,3.367534891183776,22,2427.0,0.15382225322137008,22,2427.0
360.0,24,2132.0,39.48148148148148,2.515273209930567,24,2481.0,0.06371095914565665,24,2481.0
365.0,28,2215.0,35.725806451612904,4.133730008946363,28,2512.0,0.21040563145008892,28,2512.0
370.0,22,608.0,10.133333333333333,3.350134067229144,22,1928.0,0.15175490884696166,22,1928.0
375.0,27,286.0,4.766666666666667,3.16531235636967,27,1059.0,0.1405893530239823,27,1059.0
380.0,31,371.0,6.288135593220339,2.448623197343081,31,1141.0,0.08043092231403814,31,1141.0
385.0,32,465.0,7.75,3.00128184996535,32,1174.0,0.10848829490660787,32,1174.0
390.0,24,392.0,6.6440677966101696,3.5028297489562545,24,1175.0,0.13019182539242083,24,1175.0
395.0,21,370.0,6.491228070175438,3.7121211920602692,21,1123.0,0.15181719246192482,21,1123.0
400.0,23,440.0,7.333333333333333,3.7362962672793683,23,1154.0,0.1718999075695265,23,1154.0
