step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.94276993516993,0,0.0,0.9410735018593535,0,0.0
10.0,0,0.0,0.0,11.90763942846514,0,0.0,0.8737947100208662,0,0.0
15.0,6,8.0,0.4444444444444444,7.376634113977357,6,8.0,0.4060136419670371,6,8.0
20.0,8,47.0,2.611111111111111,7.395017679023848,8,47.0,0.3990186618189901,8,47.0
25.0,4,45.0,2.142857142857143,5.271337193930388,4,60.0,0.35471725470596327,4,60.0
30.0,10,88.0,4.4,6.099125764120235,10,88.0,0.33302055149405213,10,88.0
35.0,9,97.0,4.041666666666667,5.198424775675419,9,97.0,0.2495853463344154,9,97.0
40.0,14,160.0,6.153846153846154,5.395433438387693,14,160.0,0.33680388699882147,14,160.0
45.0,11,142.0,4.733333333333333,5.365617823012697,11,192.0,0.3439479328055635,11,192.0
50.0,8,151.0,5.033333333333333,5.694791298522918,8,181.0,0.3023968431371895,8,181.0
55.0,9,31.0,0.9117647058823529,5.9643430571899,9,140.0,0.2844741352919044,9,140.0
60.0,12,65.0,2.1666666666666665,6.355745863403957,12,86.0,0.23597487856241772,12,86.0
65.0,10,77.0,2.3333333333333335,6.038559385190695,10,116.0,0.2653117360290425,10,116.0
70.0,6,87.0,3.107142857142857,7.100137262386644,6,113.0,0.36812536456796524,6,113.0
75.0,7,120.0,3.2432432432432434,9.512818135453069,7,123.0,0.5634026548895205,7,123.0
80.0,6,52.0,1.625,8.17968256235065,6,106.0,0.5121830625124627,6,106.0
85.0,11,97.0,2.8529411764705883,7.061678079337288,11,100.0,0.39222857490080687,11,100.0
90.0,11,112.0,3.6129032258064515,6.178332933837768,11,139.0,0.28989840132258315,11,139.0
95.0,8,143.0,4.766666666666667,6.295182333108469,8,153.0,0.3008412608754564,8,153.0
100.0,5,34.0,1.1724137931034482,6.480869107498599,5,121.0,0.3356639112604117,5,121.0
105.0,8,57.0,1.9655172413793103,6.8564138080433485,8,73.0,0.3557116697427337,8,73.0
110.0,12,69.0,2.15625,6.6413734671284566,12,85.0,0.3823615611091245,12,85.0
115.0,15,140.0,4.666666666666667,5.165557684924576,15,156.0,0.3062784851867018,15,156.0
120.0,12,116.0,3.8666666666666667,4.162115590903939,12,191.0,0.2618577516897002,12,191.0
125.0,11,86.0,2.6875,5.386159623642703,11,179.0,0.27950157162554823,11,179.0
130.0,10,135.0,3.9705882352941178,7.433425538570858,10,163.0,0.33681634412144673,10,163.0
135.0,6,59.0,1.7352941176470589,6.450566500187933,6,152.0,0.3468183587330054,6,152.0
140.0,12,101.0,3.4827586206896552,5.890847708233768,12,125.0,0.3065007194565728,12,125.0
145.0,8,111.0,3.264705882352941,6.641276935037083,8,150.0,0.37980273174283585,8,150.0
150.0,6,115.0,3.1944444444444446,8.426712464145979,6,138.0,0.539501092385002,6,138.0
155.0,3,14.0,0.42424242424242425,7.435506278691279,3,90.0,0.42688220363191787,3,90.0
160.0,12,54.0,1.588235294117647,6.6438549005575585,12,70.0,0.26033241417907627,12,70.0
165.0,14,112.0,3.7333333333333334,5.173533525907624,14,128.0,0.14743889959007417,14,128.0
170.0,19,194.0,6.258064516129032,4.5799402018467115,19,210.0,0.20980892749178134,19,210.0
175.0,15,181.0,6.464285714285714,2.8164957641634656,15,258.0,0.11522143483644427,15,258.0
180.0,8,135.0,4.5,4.89331244566687,8,240.0,0.21329351406827765,8,240.0
185.0,8,165.0,4.583333333333333,8.087024866526626,8,202.0,0.39223745978650565,8,202.0
190.0,3,19.0,0.5277777777777778,7.355481078974756,3,154.0,0.4044501558746871,3,154.0
195.0,9,28.0,0.875,5.482240509052507,9,86.0,0.2592862550738037,9,86.0
200.0,11,43.0,1.2647058823529411,4.838835696289884,11,112.0,0.2499164419440399,11,112.0
205.0,8,60.0,1.7647058823529411,6.151030356603005,8,107.0,0.2480625681838445,8,107.0
210.0,4,58.0,1.7058823529411764,7.0665609575177974,4,104.0,0.35831416365216784,4,104.0
215.0,10,97.0,3.2333333333333334,5.576525143766067,10,119.0,0.16970649161269785,10,119.0
220.0,13,125.0,3.289473684210526,6.78598755466961,13,160.0,0.38832094179162674,13,160.0
225.0,6,130.0,3.823529411764706,7.606123933602477,6,158.0,0.4340936057026705,6,158.0
230.0,5,26.0,0.6842105263157895,6.0885499774879035,5,117.0,0.2865018618580061,5,117.0
235.0,14,83.0,2.4411764705882355,6.161799504169039,14,111.0,0.25874133285296336,14,111.0
240.0,13,109.0,3.2058823529411766,4.249402850950102,13,155.0,0.16104438882101116,13,155.0
245.0,10,140.0,4.242424242424242,6.234995922325552,10,166.0,0.2759485119311899,10,166.0
250.0,7,72.0,2.1176470588235294,6.0820122214525085,7,154.0,0.2869730525309125,7,154.0
255.0,12,122.0,3.4857142857142858,6.241917789316901,12,148.0,0.3243704260783441,12,148.0
260.0,12,134.0,3.6216216216216215,6.444635301840105,12,179.0,0.3422159750461494,12,179.0
265.0,7,137.0,3.914285714285714,6.427735280496239,7,183.0,0.3167939595651591,7,183.0
270.0,9,164.0,4.555555555555555,6.324881479225237,9,200.0,0.3182954680679477,9,200.0
275.0,15,227.0,7.32258064516129,5.005279710933681,15,262.0,0.2437329460129443,15,262.0
280.0,14,261.0,7.676470588235294,4.638524418765947,14,310.0,0.23889323642507557,14,310.0
285.0,10,292.0,9.125,6.25227847538505,10,327.0,0.29173415573839845,10,327.0
290.0,8,144.0,3.6,6.308271420509326,8,271.0,0.35279546953845164,8,271.0
295.0,13,202.0,5.45945945945946,6.320738376149999,13,239.0,0.35445054727829084,13,239.0
300.0,12,217.0,5.7105263157894735,4.8082516910166975,12,273.0,0.21398064032842196,12,273.0
305.0,13,238.0,6.4324324324324325,4.9530282908163485,13,293.0,0.24770413073977826,13,293.0
310.0,11,117.0,3.0789473684210527,4.919720060748459,11,190.0,0.210041238499216,11,190.0
315.0,19,196.0,5.157894736842105,4.295714242396273,19,253.0,0.17936803133707122,19,253.0
320.0,18,247.0,6.675675675675675,3.432022906317779,18,317.0,0.14852536671892477,18,317.0
325.0,14,283.0,7.256410256410256,5.285060472495855,14,346.0,0.28811831716203024,14,346.0
330.0,9,133.0,3.2439024390243905,6.161037231152477,9,302.0,0.3102595330564026,9,302.0
335.0,10,143.0,3.4047619047619047,5.884413922976221,10,231.0,0.272945352268989,10,231.0
340.0,15,172.0,4.410256410256411,3.56437015174356,15,268.0,0.11526501907390128,15,268.0
345.0,14,223.0,5.717948717948718,5.29996135504224,14,290.0,0.23177173620754138,14,290.0
350.0,12,87.0,2.230769230769231,4.5938398562125435,12,267.0,0.17504143831744284,12,267.0
355.0,15,127.0,3.3421052631578947,5.186873035617451,15,221.0,0.24089730498940579,15,221.0
360.0,16,164.0,4.555555555555555,3.188102251263521,16,274.0,0.05980951403390578,16,274.0
365.0,13,195.0,4.431818181818182,6.4737319909795765,13,302.0,0.3686309079456696,13,302.0
370.0,9,80.0,1.9047619047619047,4.949049293517281,9,278.0,0.24707586621069103,9,278.0
375.0,16,92.0,2.13953488372093,4.55121615008089,16,222.0,0.22825989455407594,16,222.0
380.0,18,129.0,3.0714285714285716,3.3666693959519387,18,258.0,0.09392642794121721,18,258.0
385.0,17,154.0,3.422222222222222,5.189441173994289,17,283.0,0.22561258910979431,17,283.0
390.0,16,215.0,5.375,5.48534962013426,16,304.0,0.19526404164113456,16,304.0
395.0,9,123.0,3.075,5.22251663469987,9,269.0,0.23662310401778633,9,269.0
400.0,18,198.0,4.829268292682927,5.198715582752462,18,267.0,0.2579922928277533,18,267.0
405.0,17,249.0,5.790697674418604,5.207762706912986,17,333.0,0.2768450900694237,17,333.0
410.0,14,282.0,7.230769230769231,4.083921408543601,14,368.0,0.18665519535931813,14,368.0
415.0,13,148.0,3.441860465116279,4.675905859283342,13,345.0,0.2225028867433789,13,345.0
420.0,15,157.0,4.0256410256410255,4.147126365988265,15,285.0,0.16204723553782568,15,285.0
425.0,16,185.0,4.3023255813953485,4.5231071932044555,16,311.0,0.18282246529325547,16,311.0
430.0,13,215.0,5.512820512820513,4.538782178802867,13,329.0,0.14140328435147265,13,329.0
435.0,14,271.0,5.645833333333333,7.530724494329021,14,344.0,0.38930305978552043,14,344.0
440.0,13,334.0,7.767441860465116,8.149374065688539,13,381.0,0.43457595127841975,13,381.0
445.0,9,287.0,6.5227272727272725,5.8438787043358165,9,373.0,0.31245991047798066,9,373.0
450.0,18,345.0,9.078947368421053,5.001910149869645,18,372.0,0.2393833847540859,18,372.0
455.0,19,271.0,6.775,4.265340357963522,19,313.0,0.17424879300419016,19,313.0
460.0,25,384.0,10.105263157894736,3.9967778936790013,25,411.0,0.15576623221915362,25,411.0
465.0,21,402.0,10.307692307692308,3.5987989590496285,21,491.0,0.17699311812368745,21,491.0
470.0,15,402.0,9.804878048780488,5.4877975012869395,15,489.0,0.3031794184435829,15,489.0
475.0,10,150.0,3.488372093023256,6.019131896090766,10,431.0,0.32696953175488525,10,431.0
480.0,15,156.0,3.9,4.634003040302069,15,314.0,0.21117286979621813,15,314.0
485.0,18,191.0,4.5476190476190474,4.050749715965765,18,329.0,0.15433634421147358,18,329.0
490.0,15,229.0,5.585365853658536,4.818542611585686,15,350.0,0.18949069411053873,15,350.0
495.0,12,104.0,2.5365853658536586,4.8879463238214536,12,323.0,0.2233066924661523,12,323.0
500.0,12,108.0,2.769230769230769,4.875005346039207,12,262.0,0.20752619375713313,12,262.0
505.0,15,133.0,3.1666666666666665,4.635245754799582,15,293.0,0.22634419432339187,15,293.0
510.0,14,168.0,3.7333333333333334,6.527030908177183,14,302.0,0.3686689243747749,14,302.0
515.0,8,72.0,1.7142857142857142,4.799551713233647,8,264.0,0.2071955031415724,8,264.0
520.0,17,140.0,3.3333333333333335,4.477553795729116,17,248.0,0.20191626105190616,17,248.0
525.0,17,187.0,4.560975609756097,3.454449025174056,17,309.0,0.08985922942394804,17,309.0
530.0,17,233.0,5.4186046511627906,4.794052401910932,17,346.0,0.1986401424062792,17,346.0
535.0,13,126.0,3.15,3.955755434494891,13,330.0,0.15611233815515138,13,330.0
540.0,12,113.0,2.825,4.240346964970454,12,262.0,0.17292296172306726,12,262.0
545.0,14,133.0,3.022727272727273,4.73767455995852,14,288.0,0.21385998861677108,14,288.0
550.0,13,147.0,3.340909090909091,5.508656443700444,13,297.0,0.27259967835135224,13,297.0
555.0,13,191.0,4.441860465116279,5.700916668575328,13,297.0,0.20615632797097985,13,297.0
560.0,12,200.0,4.651162790697675,5.441629214401064,12,310.0,0.2546564225207531,12,310.0
565.0,15,246.0,6.15,5.2079889856564865,15,317.0,0.2129129067503827,15,317.0
570.0,16,286.0,7.15,4.48842677604884,16,359.0,0.2027770742442932,16,359.0
575.0,13,312.0,8.432432432432432,4.609769361959529,13,376.0,0.12967422307237522,13,376.0
580.0,9,153.0,3.3260869565217392,6.201008748535673,9,327.0,0.365750508682512,9,327.0
585.0,13,208.0,4.9523809523809526,5.580112821223422,13,289.0,0.29943307303605377,13,289.0
590.0,23,297.0,6.6,4.487825081904141,23,378.0,0.19378335765369736,23,378.0
595.0,23,335.0,8.170731707317072,2.8639486508355865,23,450.0,0.12313353150757975,23,450.0
600.0,19,351.0,8.162790697674419,4.176536445383097,19,476.0,0.17216690571053936,19,476.0
605.0,17,407.0,9.465116279069768,5.625900404230454,17,490.0,0.19978191500989528,17,490.0
610.0,10,295.0,7.023809523809524,4.928968542756373,10,482.0,0.21745026757210337,10,482.0
615.0,12,314.0,7.3023255813953485,5.74241111454983,12,422.0,0.3054125870309914,12,422.0
620.0,15,133.0,2.9555555555555557,5.382825394715965,15,297.0,0.2888297076264814,15,297.0
625.0,22,233.0,5.4186046511627906,4.03056691714455,22,341.0,0.1650634682677833,22,341.0
630.0,26,255.0,5.795454545454546,3.3525041140491747,26,410.0,0.15854691388484687,26,410.0
635.0,19,236.0,5.9,2.854744136999652,19,427.0,0.09657626116758831,19,427.0
640.0,17,272.0,5.913043478260869,5.5979843925686,17,419.0,0.2447407428358194,17,419.0
645.0,15,310.0,7.209302325581396,6.638779840794673,15,427.0,0.2877972435278157,15,427.0
650.0,9,222.0,4.723404255319149,7.070320227640503,9,393.0,0.4122710585199224,9,393.0
655.0,13,257.0,5.976744186046512,7.156836748441346,13,358.0,0.4191985355980907,13,358.0
660.0,13,71.0,1.6904761904761905,4.467751057285832,13,297.0,0.2027991497029252,13,297.0
665.0,21,157.0,3.6511627906976742,4.704254921865273,21,259.0,0.20073971754322578,21,259.0
