step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.763536547639214,0,0.0,0.8550516908635957,0,0.0
10.0,0,0.0,0.0,12.322029521962712,0,0.0,0.8958398003833614,0,0.0
15.0,2,2.0,0.1111111111111111,7.145700746500619,2,2.0,0.460858987150595,2,2.0
20.0,7,33.0,1.8333333333333333,8.130561029372494,7,33.0,0.4309568855362628,7,33.0
25.0,4,39.0,1.7727272727272727,6.257620881038972,4,45.0,0.3662438757462541,4,45.0
30.0,6,69.0,3.6315789473684212,7.96737633417785,6,69.0,0.4295937150326226,6,69.0
35.0,3,41.0,1.7826086956521738,7.2134396075434335,3,57.0,0.34388974964529345,3,57.0
40.0,7,70.0,2.9166666666666665,8.360058788706441,7,70.0,0.515298469122463,7,70.0
45.0,3,60.0,2.2222222222222223,8.158753080593787,3,80.0,0.49018625568527396,3,80.0
50.0,3,70.0,2.6923076923076925,8.06814007794952,3,72.0,0.42425798723092384,3,72.0
55.0,5,91.0,3.3703703703703702,7.9223296721640475,5,95.0,0.43704646781365114,5,95.0
60.0,10,129.0,5.863636363636363,6.173546741962193,10,131.0,0.25118663797788626,10,131.0
65.0,8,145.0,5.576923076923077,5.786160463008124,8,165.0,0.3057373066167625,8,165.0
70.0,6,168.0,7.636363636363637,6.863641286957579,6,177.0,0.39409089856411345,6,177.0
75.0,4,124.0,3.6470588235294117,7.5535158322004765,4,161.0,0.4733024126573232,4,161.0
80.0,9,161.0,5.366666666666666,8.332445798185596,9,170.0,0.49794200306590625,9,170.0
85.0,4,151.0,4.4411764705882355,5.890355724509525,4,183.0,0.30655812334529486,4,183.0
90.0,10,179.0,5.966666666666667,6.561564862305061,10,196.0,0.34289474482322047,10,196.0
95.0,7,55.0,1.71875,6.264708730857148,7,79.0,0.31347320399976863,7,79.0
100.0,15,114.0,3.9310344827586206,4.995649344440576,15,124.0,0.24540189488491934,15,124.0
105.0,12,143.0,4.612903225806452,4.570976297825762,12,175.0,0.2345375201165255,12,175.0
110.0,9,165.0,4.852941176470588,7.147183651694024,9,189.0,0.41154499900931457,9,189.0
115.0,7,104.0,2.9714285714285715,7.397647680474797,7,173.0,0.3961418600975524,7,173.0
120.0,17,165.0,5.15625,5.894885151665421,17,183.0,0.2223401348085788,17,183.0
125.0,14,201.0,5.911764705882353,5.563657627950308,14,235.0,0.20401186545954114,14,235.0
130.0,9,220.0,7.333333333333333,6.039062584626553,9,255.0,0.28492414087483203,9,255.0
135.0,6,50.0,1.5151515151515151,6.7357967410287785,6,188.0,0.3248301904462816,6,188.0
140.0,7,35.0,1.1666666666666667,6.9710292417400375,7,96.0,0.3372637945923857,7,96.0
145.0,5,39.0,1.1818181818181819,6.522964175956819,5,77.0,0.3290897339637403,5,77.0
150.0,5,42.0,1.1666666666666667,9.037984999527083,5,68.0,0.5384185781297649,5,68.0
155.0,6,39.0,1.2580645161290323,6.470684987913477,6,65.0,0.3161770016533047,6,65.0
160.0,16,99.0,3.09375,5.178176668285458,16,125.0,0.22510259929126114,16,125.0
165.0,13,132.0,4.4,3.86284156108991,13,177.0,0.14213532565623868,13,177.0
170.0,10,153.0,4.636363636363637,6.264577030107084,10,193.0,0.3170178460401737,10,193.0
175.0,5,51.0,1.6451612903225807,5.668041725939563,5,165.0,0.23915187905823282,5,165.0
180.0,10,73.0,2.3548387096774195,6.109651722576767,10,112.0,0.2452713245490359,10,112.0
185.0,12,92.0,2.7058823529411766,5.213064415784742,12,148.0,0.25091420308286505,12,148.0
190.0,6,96.0,2.823529411764706,7.001676613505214,6,151.0,0.41387348876249747,6,151.0
195.0,8,61.0,1.7941176470588236,5.803033877454821,8,109.0,0.26833623546030305,8,109.0
200.0,17,128.0,3.764705882352941,4.453021699811933,17,176.0,0.19131412091025987,17,176.0
205.0,18,176.0,5.333333333333333,3.013676674206765,18,239.0,0.13840492805034682,18,239.0
210.0,13,217.0,6.2,5.27123265197544,13,263.0,0.2757765074616738,13,263.0
215.0,9,102.0,2.914285714285714,4.513951564917444,9,241.0,0.16315271597322484,9,241.0
220.0,13,131.0,3.119047619047619,6.184549777035508,13,187.0,0.3585862616606706,13,187.0
225.0,16,157.0,3.925,5.656644600700579,16,230.0,0.3152909276708566,16,230.0
230.0,11,168.0,4.0,4.977993330785308,11,243.0,0.2507889823202425,11,243.0
235.0,13,77.0,1.9743589743589745,4.730120227827519,13,221.0,0.23801243386617413,13,221.0
240.0,18,141.0,3.4390243902439024,4.380216716167307,18,214.0,0.1559152221377042,18,214.0
245.0,18,188.0,4.82051282051282,4.726896172562595,18,268.0,0.1919315956972506,18,268.0
250.0,12,210.0,5.384615384615385,5.567344734082129,12,287.0,0.243311476758753,12,287.0
255.0,8,89.0,2.1707317073170733,5.426586378076812,8,244.0,0.28488582390495926,8,244.0
260.0,10,88.0,2.1463414634146343,6.382502908128592,10,176.0,0.34914527298550474,10,176.0
265.0,12,104.0,2.6,4.359648762594338,12,206.0,0.20438065145326909,12,206.0
270.0,16,123.0,3.0,5.110325726478441,16,223.0,0.25266973959221745,16,223.0
275.0,13,90.0,2.3684210526315788,3.97992018002206,13,207.0,0.1503813866650921,13,207.0
280.0,23,183.0,4.575,3.553120304847326,23,300.0,0.19247561921172046,23,300.0
285.0,22,245.0,6.447368421052632,2.3136383542045467,22,374.0,0.11416862617667958,22,374.0
290.0,19,281.0,6.108695652173913,5.1179711394314475,19,415.0,0.28936198413752845,19,415.0
295.0,11,167.0,3.4791666666666665,5.698265520759073,11,388.0,0.31950376308148926,11,388.0
300.0,12,167.0,3.630434782608696,4.546795671683919,12,325.0,0.21070703755570735,12,325.0
305.0,21,213.0,4.531914893617022,3.3669372693283384,21,382.0,0.13130654723419768,21,382.0
310.0,20,265.0,5.888888888888889,3.886695059057677,20,416.0,0.15090702840870732,20,416.0
315.0,18,308.0,6.553191489361702,4.274398959529991,18,465.0,0.17301487748118502,18,465.0
320.0,23,412.0,9.581395348837209,2.950141195548008,23,569.0,0.14665992945798761,23,569.0
325.0,26,499.0,10.395833333333334,2.9489179142911737,26,659.0,0.15664944979399606,26,659.0
330.0,21,567.0,11.8125,3.9816217219546117,21,694.0,0.19435321798014296,21,694.0
335.0,14,319.0,6.134615384615385,4.229899155154169,14,641.0,0.18842002571636737,14,641.0
340.0,20,339.0,6.78,4.306086076467174,20,501.0,0.1670194962877427,20,501.0
345.0,22,213.0,4.26,3.4015065185212614,22,491.0,0.12085307353466607,22,491.0
350.0,23,190.0,3.9583333333333335,3.48733244501685,23,435.0,0.12163547126917386,23,435.0
355.0,27,222.0,4.530612244897959,3.2688821560132744,27,515.0,0.12633191548464998,27,515.0
360.0,25,208.0,4.521739130434782,3.1795804507098273,25,544.0,0.06795825884510559,25,544.0
365.0,14,159.0,2.9444444444444446,4.854674444218919,14,538.0,0.26126703888519737,14,538.0
370.0,13,158.0,3.16,4.942415539306433,13,486.0,0.2546226242300803,13,486.0
375.0,21,206.0,3.814814814814815,3.1617029723335626,21,525.0,0.12538499945214565,21,525.0
380.0,23,273.0,5.46,3.3159560408024005,23,548.0,0.10870038147141038,23,548.0
385.0,23,335.0,6.203703703703703,3.7033714924715904,23,627.0,0.15600309738892332,23,627.0
390.0,27,448.0,9.142857142857142,2.516310616215144,27,753.0,0.10737378115999123,27,753.0
395.0,27,467.0,9.156862745098039,1.9268651062688034,27,831.0,0.09454009547262293,27,831.0
400.0,31,582.0,10.581818181818182,3.050879900953087,31,886.0,0.15258946673852933,31,886.0
405.0,33,632.0,10.711864406779661,3.235428279446956,33,968.0,0.1475141537269535,33,968.0
410.0,35,643.0,11.280701754385966,2.7405894622744507,35,997.0,0.08754944928647912,35,997.0
415.0,32,700.0,12.068965517241379,2.183303131715692,32,1164.0,0.089844866119595,32,1164.0
420.0,34,760.0,13.571428571428571,1.394541988753782,34,1331.0,0.05980240394074157,34,1331.0
425.0,30,839.0,15.254545454545454,1.3751588413742462,30,1403.0,0.09011278584766269,30,1403.0
430.0,26,924.0,15.931034482758621,2.3875694508183334,26,1390.0,0.09116860192144993,26,1390.0
435.0,23,516.0,7.701492537313433,3.9780903256027007,23,1271.0,0.197214366300421,23,1271.0
