step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.833528854229092,0,0.0,0.931570221935787,0,0.0
10.0,0,0.0,0.0,12.21869018406917,0,0.0,0.8909286439783625,0,0.0
15.0,4,6.0,0.3333333333333333,6.822113717254372,4,6.0,0.37740895748244335,4,6.0
20.0,8,43.0,2.388888888888889,7.002414918909896,8,43.0,0.38706973100827097,8,43.0
25.0,4,41.0,1.9523809523809523,5.984061803307226,4,55.0,0.3995683720043142,4,55.0
30.0,10,79.0,3.95,6.665653750662443,10,79.0,0.34586008212149466,10,79.0
35.0,6,98.0,4.083333333333333,5.7897954218764935,6,108.0,0.2868846545233758,6,108.0
40.0,8,133.0,5.115384615384615,7.808304838400404,8,133.0,0.4702160499468538,8,133.0
45.0,3,65.0,2.1666666666666665,7.6732930957416,3,111.0,0.43125190073475206,3,111.0
50.0,7,95.0,3.392857142857143,7.8157474089683,7,95.0,0.40254672923651313,7,95.0
55.0,9,99.0,3.413793103448276,5.69489289326259,9,120.0,0.28864182725387016,9,120.0
60.0,8,137.0,5.269230769230769,6.956511893418639,8,139.0,0.3176695232567357,8,139.0
65.0,8,136.0,4.689655172413793,6.802911726958605,8,157.0,0.3364596566161039,8,157.0
70.0,12,186.0,7.44,6.669011834424042,12,186.0,0.3030865186624958,12,186.0
75.0,10,197.0,5.794117647058823,6.512297026259424,10,221.0,0.4150501933330356,10,221.0
80.0,8,235.0,7.833333333333333,8.152800263090823,8,238.0,0.5432339884453592,8,238.0
85.0,5,148.0,4.111111111111111,6.092996155832829,5,216.0,0.3347883051806195,5,216.0
90.0,16,209.0,6.741935483870968,5.7389632231665555,16,212.0,0.27920908429775104,16,212.0
95.0,12,110.0,3.235294117647059,5.7298605304316155,12,126.0,0.24537344562114372,12,126.0
100.0,18,191.0,5.787878787878788,5.318681421011127,18,194.0,0.21938096219258538,18,194.0
105.0,15,163.0,5.09375,4.687232250336898,15,236.0,0.2408419298887359,15,236.0
110.0,8,121.0,3.4571428571428573,6.438616803076315,8,214.0,0.3773758919888238,8,214.0
115.0,8,161.0,4.472222222222222,8.65796837464605,8,179.0,0.49000703284739805,8,179.0
120.0,8,201.0,6.090909090909091,8.334380826384223,8,201.0,0.4075775181041393,8,201.0
125.0,13,256.0,7.757575757575758,7.6959486096484415,13,256.0,0.32424262465809556,13,256.0
130.0,8,203.0,7.25,5.962855271492346,8,255.0,0.25884353397557486,8,255.0
135.0,10,251.0,8.964285714285714,7.295111367097838,10,251.0,0.39068145097507856,10,251.0
140.0,10,288.0,10.285714285714286,6.137229076706619,10,290.0,0.2946054776157649,10,290.0
145.0,10,338.0,11.266666666666667,7.357326993675957,10,338.0,0.42797510493658886,10,338.0
150.0,7,89.0,2.6176470588235294,7.646053025826031,7,264.0,0.4647766469691962,7,264.0
155.0,8,76.0,2.6206896551724137,7.1596141210234014,8,128.0,0.41096665179045144,8,128.0
160.0,11,87.0,2.5588235294117645,5.580329286690799,11,107.0,0.2644095296719578,11,107.0
165.0,12,141.0,4.7,6.2634193193338605,12,143.0,0.27844025457788046,12,143.0
170.0,9,66.0,2.0,6.459997027501598,9,135.0,0.2961587879057457,9,135.0
175.0,11,117.0,4.178571428571429,6.598976006024584,11,120.0,0.255124983868785,11,120.0
180.0,9,130.0,4.482758620689655,6.407444371853384,9,156.0,0.2911433389507005,9,156.0
185.0,8,157.0,5.064516129032258,7.89548211231494,8,166.0,0.43198153406701084,8,166.0
190.0,5,82.0,2.5625,7.895660990377612,5,137.0,0.42088581725472907,5,137.0
195.0,11,131.0,4.678571428571429,7.4934208330530705,11,134.0,0.3472946293028201,11,134.0
200.0,6,137.0,4.724137931034483,6.593629507805745,6,160.0,0.32526228468202567,6,160.0
205.0,7,168.0,6.222222222222222,7.783564252802596,7,168.0,0.40977471731757775,7,168.0
210.0,4,109.0,4.037037037037037,6.620951152606348,4,148.0,0.34009038601500174,4,148.0
215.0,9,145.0,6.304347826086956,6.711667356460478,9,145.0,0.3014096674572516,9,145.0
220.0,5,137.0,4.151515151515151,7.371686595352925,5,165.0,0.46145708833605836,5,165.0
225.0,4,148.0,4.933333333333334,9.104572288636787,4,160.0,0.5837699527681001,4,160.0
230.0,7,173.0,5.242424242424242,6.636087094728563,7,185.0,0.34698842280563963,7,185.0
235.0,16,242.0,8.344827586206897,5.641629773762343,16,254.0,0.25916267450473235,16,254.0
240.0,12,267.0,8.9,3.8608477459908466,12,301.0,0.16182840316157096,12,301.0
245.0,10,300.0,10.344827586206897,6.143143850810914,10,320.0,0.32052685485553445,10,320.0
250.0,5,226.0,7.0625,6.994817944564979,5,294.0,0.33623990330828185,5,294.0
255.0,11,270.0,8.181818181818182,7.434949589050795,11,282.0,0.40850774420072455,11,282.0
260.0,11,71.0,2.088235294117647,6.9484895182297395,11,139.0,0.4076116815724097,11,139.0
265.0,13,135.0,4.090909090909091,5.489618705681018,13,147.0,0.2585478346418414,13,147.0
270.0,14,112.0,3.393939393939394,4.4473846824515055,14,184.0,0.23644843417782158,14,184.0
275.0,8,78.0,2.6,5.651569804145574,8,167.0,0.2798654878169344,8,167.0
280.0,9,111.0,3.1714285714285713,7.777877534489017,9,149.0,0.40169441183163884,9,149.0
285.0,9,156.0,5.2,8.402323381323026,9,161.0,0.3818897100638428,9,161.0
290.0,7,100.0,2.857142857142857,7.959552797672024,7,148.0,0.48035895598011363,7,148.0
295.0,10,138.0,4.181818181818182,8.341988356550338,10,144.0,0.4872450536409636,10,144.0
300.0,7,151.0,4.71875,5.224850802959636,7,173.0,0.23354701163434496,7,173.0
305.0,13,197.0,5.96969696969697,6.361593897883801,13,213.0,0.2907470699298782,13,213.0
310.0,8,70.0,2.1875,5.640966569264318,8,185.0,0.25170500102623755,8,185.0
315.0,12,94.0,3.1333333333333333,5.3059471707717725,12,127.0,0.26817618826874456,12,127.0
320.0,12,130.0,4.193548387096774,5.875442572923646,12,173.0,0.3143912205739793,12,173.0
325.0,9,163.0,5.09375,7.169858626391279,9,197.0,0.41659613414187224,9,197.0
330.0,6,93.0,2.8181818181818183,6.996587344536683,6,178.0,0.3929334071816581,6,178.0
335.0,9,125.0,3.787878787878788,6.262366522744109,9,156.0,0.32421000387081284,9,156.0
340.0,13,146.0,4.5625,4.6770413738469125,13,190.0,0.1992347006225336,13,190.0
345.0,11,191.0,5.96875,6.300912526154741,11,226.0,0.3128481262844182,11,226.0
350.0,8,138.0,4.181818181818182,5.716247086116459,8,195.0,0.24272443948429018,8,195.0
355.0,14,199.0,6.419354838709677,5.548635687812733,14,213.0,0.2510517295570887,14,213.0
360.0,11,223.0,7.689655172413793,4.305894540162519,11,262.0,0.1264567989778923,11,262.0
365.0,9,247.0,6.675675675675675,7.364541227678452,9,276.0,0.4423349501965309,9,276.0
370.0,4,151.0,4.314285714285714,7.212577083901621,4,245.0,0.43292993171135846,4,245.0
375.0,13,185.0,4.868421052631579,5.606299845639561,13,215.0,0.24940024741679734,13,215.0
380.0,17,106.0,3.1176470588235294,4.708642876369857,17,146.0,0.1888620521168574,17,146.0
385.0,21,198.0,5.5,4.813914565977935,21,228.0,0.2072732759805529,21,228.0
390.0,17,193.0,5.848484848484849,3.7826277397032775,17,281.0,0.1547989455560767,17,281.0
395.0,11,144.0,4.363636363636363,4.7303617765187225,11,271.0,0.24795265491963825,11,271.0
400.0,10,181.0,4.641025641025641,7.358096597085823,10,233.0,0.3813952648131028,10,233.0
405.0,7,135.0,3.375,6.984259386370691,7,226.0,0.41537456307550874,7,226.0
410.0,13,177.0,4.783783783783784,5.524975260450072,13,227.0,0.24361334675090837,13,227.0
415.0,16,209.0,5.648648648648648,4.651014020772868,16,269.0,0.21136270781762767,16,269.0
420.0,10,232.0,7.03030303030303,4.746439801941801,10,284.0,0.19823312383916428,10,284.0
425.0,12,288.0,7.783783783783784,7.3519186332790145,12,304.0,0.34784293163869145,12,304.0
430.0,12,348.0,10.235294117647058,7.555643443954528,12,356.0,0.28183477954173186,12,356.0
435.0,14,417.0,10.425,7.782885893938472,14,425.0,0.44741230739398347,14,425.0
