step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.32527026873155,0,0.0,0.930647292279497,0,0.0
10.0,0,0.0,0.0,12.40672762275917,0,0.0,0.8700343366029353,0,0.0
15.0,6,11.0,0.6111111111111112,7.1254901177311405,6,11.0,0.3853471719090452,6,11.0
20.0,4,29.0,1.6111111111111112,8.198586026641781,4,31.0,0.49379803044970133,4,31.0
25.0,5,50.0,2.380952380952381,7.4319153873915225,5,50.0,0.40642630335584407,5,50.0
30.0,6,79.0,3.95,7.53029870711822,6,81.0,0.4361713921954289,6,81.0
35.0,6,109.0,5.45,6.849377285969112,6,109.0,0.35024624824473694,6,109.0
40.0,3,58.0,2.230769230769231,9.130629446609522,3,90.0,0.5481135271685216,3,90.0
45.0,3,73.0,2.92,9.79967150684365,3,73.0,0.6259340631721755,3,73.0
50.0,4,76.0,3.04,7.3906078674162385,4,78.0,0.40609674322436207,4,78.0
55.0,8,111.0,4.44,7.8784063108785425,8,111.0,0.42164009736177166,8,111.0
60.0,6,119.0,5.173913043478261,6.952419548353253,6,132.0,0.30471283041597313,6,132.0
65.0,9,156.0,6.0,7.8027734334775705,9,156.0,0.40709941784198583,9,156.0
70.0,7,173.0,7.863636363636363,6.673815190854665,7,188.0,0.35690106502144936,7,188.0
75.0,8,206.0,6.866666666666666,8.273857362172693,8,206.0,0.525597058369637,8,206.0
80.0,4,137.0,4.566666666666666,8.663103613196443,4,184.0,0.5527526189140136,4,184.0
85.0,5,162.0,5.225806451612903,7.305974514656153,5,162.0,0.4388610793464208,5,162.0
90.0,10,175.0,6.0344827586206895,5.909296597879004,10,188.0,0.2870883260223102,10,188.0
95.0,10,224.0,7.466666666666667,7.190077288468587,10,225.0,0.36164182087179764,10,225.0
100.0,10,233.0,8.03448275862069,6.70917603052076,10,252.0,0.31710668579549867,10,252.0
105.0,12,291.0,10.03448275862069,5.740271394732207,12,292.0,0.26066010413724955,12,292.0
110.0,12,319.0,9.96875,6.094022494734155,12,337.0,0.3635139483889188,12,337.0
115.0,10,361.0,12.033333333333333,7.519932780666837,10,370.0,0.42774972990918436,10,370.0
120.0,8,132.0,4.125,7.200264930968591,8,200.0,0.3304920037724777,8,200.0
125.0,16,198.0,6.6,4.982070372192985,16,202.0,0.20938050736717315,16,202.0
130.0,14,247.0,8.233333333333333,4.3650101391430765,14,265.0,0.19820968537546077,14,265.0
135.0,14,305.0,10.166666666666666,5.611770487364121,14,314.0,0.29230590023856295,14,314.0
140.0,10,130.0,4.193548387096774,5.653869136738349,10,278.0,0.2806774054609608,10,278.0
145.0,9,116.0,3.625,6.968440093621904,9,183.0,0.4124261695174812,9,183.0
150.0,10,130.0,3.5135135135135136,6.857228328518293,10,188.0,0.4298565621792471,10,188.0
155.0,9,158.0,4.647058823529412,6.418597666555426,9,212.0,0.3096287237348186,9,212.0
160.0,12,69.0,1.9166666666666667,5.528347680395477,12,199.0,0.2732986322515757,12,199.0
165.0,15,133.0,4.15625,5.149901012235745,15,188.0,0.18845803735349823,15,188.0
170.0,15,172.0,4.777777777777778,5.71630345048516,15,241.0,0.24169715044048629,15,241.0
175.0,11,210.0,6.774193548387097,5.722270156860785,11,270.0,0.2422759076715664,11,270.0
180.0,8,93.0,2.90625,5.258648316194878,8,231.0,0.21750188036579007,8,231.0
185.0,9,83.0,2.515151515151515,6.462254866815134,9,157.0,0.36880602009315405,9,157.0
190.0,10,84.0,2.3333333333333335,6.242784843687112,10,145.0,0.33959027428039046,10,145.0
195.0,7,90.0,2.5714285714285716,6.079687543952158,7,131.0,0.2517146030643405,7,131.0
200.0,8,125.0,3.5714285714285716,6.1584101710154675,8,170.0,0.3164113112296423,8,170.0
205.0,15,186.0,5.8125,4.811697473478882,15,227.0,0.19550607252524327,15,227.0
210.0,15,226.0,6.848484848484849,4.48069983487274,15,286.0,0.2270873562044694,15,286.0
215.0,10,249.0,8.03225806451613,4.784224212309385,10,305.0,0.16584914203509646,10,305.0
220.0,9,153.0,3.731707317073171,6.7817428029921745,9,288.0,0.3816741126297507,9,288.0
225.0,11,174.0,4.702702702702703,7.0537653456680545,11,239.0,0.3862303445418215,11,239.0
230.0,14,180.0,4.390243902439025,4.92584452691682,14,245.0,0.20749140707170227,14,245.0
235.0,12,205.0,5.54054054054054,5.343692449866445,12,267.0,0.18815780116931363,12,267.0
240.0,11,82.0,2.2162162162162162,4.673205035008388,11,168.0,0.20440224804155516,11,168.0
245.0,18,159.0,4.676470588235294,3.2693631498807685,18,226.0,0.1597544381454043,18,226.0
250.0,15,191.0,5.162162162162162,3.8732666445482105,15,275.0,0.21444409083560922,15,275.0
255.0,14,216.0,5.4,4.964886618641027,14,277.0,0.2626775236847392,14,277.0
260.0,11,150.0,3.488372093023256,5.5810875424622814,11,280.0,0.3286347564216001,11,280.0
265.0,15,217.0,5.2926829268292686,5.165623133237588,15,292.0,0.25988709581001995,15,292.0
270.0,20,257.0,5.976744186046512,4.509362829652418,20,347.0,0.18505827976197667,20,347.0
275.0,14,280.0,7.368421052631579,3.849143327508336,14,363.0,0.12678945496274155,14,363.0
