step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,150,0,45,2,152,0,210.0,1.4,6.797054582770108,4,33.0,0.5290875906415661,2,12.0,0.7649260532200625,3,20.0,0.18862887806466164,5,25.0,0.000159945131944332,2,21.0,0.4821937142821464,2,18.0,0.6506015847577612,1,9.0,0.2522755539437421,1,5.0,0.0,3,13.0,0.48079194359040117,2,11.0,0.49051085427389024,2,25.0,0.45737654040267733,4,27.0,0.563460959277982,3,17.0,0.004769752966350132,3,16.0,0.0075742500647729425,4,34.0,0.3598841081172962,4,29.0,0.6017638071278536,45,315.0
60.0,158,0,61,2,160,0,491.0,3.107594936708861,7.185691807451395,5,37.0,0.5050222917792798,4,19.0,0.6567132666038893,4,38.0,0.3228108217939744,5,50.0,0.0,3,18.0,0.5150244191788249,3,25.0,0.6842776135485519,2,17.0,0.4825500870494611,1,10.0,0.0,4,32.0,0.4293051565614335,5,31.0,0.3208376463188868,3,17.0,0.582093837015419,5,44.0,0.6033637618471703,4,37.0,0.1868614026138376,4,35.0,1.896939789283215e-05,5,41.0,0.4518849715965355,4,41.0,0.6600261625006715,61,492.0
65.0,174,0,69,2,176,0,820.0,4.712643678160919,7.244948717998342,7,68.0,0.4640705865992246,6,42.0,0.6138630470322266,4,58.0,0.6084474636940947,5,75.0,0.0,3,33.0,0.5381066060087469,3,40.0,0.6440272245979958,2,27.0,0.6925931132006224,1,15.0,0.0,6,61.0,0.5565716082230737,7,61.0,0.2651403577155838,3,32.0,0.5482631123438374,5,69.0,0.5575561324826382,4,57.0,0.5369350955847849,4,55.0,0.0,5,66.0,0.35588639129642774,4,61.0,0.6350633300793429,69,820.0
70.0,190,0,77,2,192,0,1185.0,6.2368421052631575,7.119734538468269,9,108.0,0.4258136349956268,8,75.0,0.5299985412081439,4,78.0,0.6619158853064656,5,100.0,0.26817414480776164,3,48.0,0.5421494144615282,3,55.0,0.5418738570580024,2,37.0,0.7131341602048168,1,20.0,0.6500232673065914,8,97.0,0.522393145279481,9,102.0,0.28021616068469113,3,47.0,0.6130722529855311,5,94.0,0.4848008700379127,4,77.0,0.6198204939106411,4,75.0,0.1909156831215633,5,91.0,0.43591751985140054,4,81.0,0.5588303486219358,77,1185.0
75.0,198,0,83,2,200,0,1588.0,8.02020202020202,6.991707633887838,10,156.0,0.367208553292332,10,119.0,0.37858073011595206,4,98.0,0.6281699393608805,5,125.0,0.46641901059370616,3,63.0,0.4809293354032005,3,70.0,0.36830969700361116,2,47.0,0.719981105752266,1,25.0,0.7516686667333066,10,145.0,0.48577009136946564,10,150.0,0.3826801070580457,3,62.0,0.5368457457828656,5,119.0,0.41406472855174836,4,97.0,0.6296247734120487,4,95.0,0.5192970354468955,5,116.0,0.4285197926501167,4,101.0,0.39612614428158965,83,1588.0
80.0,214,0,91,2,216,0,2021.0,9.44392523364486,6.909328113872419,13,214.0,0.31121371250663554,11,170.0,0.29525611274624075,4,118.0,0.5821637966177187,5,150.0,0.5766570102897395,3,78.0,0.5294595063419848,3,85.0,0.5359086006032632,2,57.0,0.6610483478562963,1,30.0,0.7847722966223757,12,201.0,0.41015149048761573,12,203.0,0.4290409787529498,3,77.0,0.5350885833474913,5,144.0,0.4196090186709143,4,117.0,0.5897254750557936,4,115.0,0.5591200980884734,5,141.0,0.4141965742340841,4,121.0,0.4002586239305626,91,2021.0
85.0,230,0,99,2,232,0,2501.0,10.873913043478261,7.01174005800799,14,282.0,0.31507905725958324,13,233.0,0.3178964117362963,4,138.0,0.48888383134115976,5,175.0,0.6183446197664715,3,93.0,0.550997363268049,3,100.0,0.6005393371425403,2,67.0,0.6323178742831309,1,35.0,0.7891161288855797,14,267.0,0.3977554885534388,15,271.0,0.3915188625413926,3,92.0,0.5473477823509711,5,169.0,0.41881154922504726,4,137.0,0.5442376034534712,4,135.0,0.6269035194023209,5,166.0,0.43081461467511944,4,141.0,0.40035512110332905,99,2501.0
90.0,235,0,58,5,240,0,1028.0,4.374468085106383,5.723753237434183,12,273.0,0.27239131473694006,11,227.0,0.2788718550199559,4,158.0,0.4169614449626314,1,115.0,0.5055821529677273,0,32.0,0.5967402477716014,1,35.0,0.5844940405723845,0,0.0,0.34321611759095144,1,1.0,0.5598815251143934,13,264.0,0.21501551074399367,12,265.0,0.27187613560463286,1,34.0,0.6103278782706206,1,109.0,0.4263044037880062,0,72.0,0.4803354803284422,0,70.0,0.5883241157808247,1,110.0,0.4812824815850863,0,74.0,0.4494983147128798,58,1839.0
95.0,248,0,61,8,256,0,227.0,0.9153225806451613,6.157950459043203,5,181.0,0.35247139012376466,4,142.0,0.29065355598000187,1,7.0,0.520722551893433,5,20.0,0.35116385296373864,1,10.0,0.7186167026064196,4,18.0,0.4534131403352178,2,8.0,0.26658817523354494,6,24.0,0.2711599653833346,10,191.0,0.17346405136667756,9,191.0,0.24655385633106877,3,18.0,0.6559708843315538,2,12.0,0.4438348917820939,3,15.0,0.46798893946177744,3,14.0,0.43068708216114115,1,10.0,0.7135857268801826,2,14.0,0.560855074836001,61,875.0
100.0,250,0,88,22,272,0,519.0,2.076,6.563747466586733,3,98.0,0.46224566194055616,4,75.0,0.44742131797396645,3,22.0,0.5489507667809569,9,58.0,0.2576410863315963,3,22.0,0.6356908162941622,5,38.0,0.37804719102979933,3,24.0,0.542142638851763,12,73.0,0.2680546612893683,8,143.0,0.3090281954040505,8,133.0,0.31713621864847513,4,35.0,0.690143895634622,4,29.0,0.639665901515641,6,39.0,0.5630897345360087,8,43.0,0.44366705655334115,4,22.0,0.5263749913918387,4,31.0,0.47465352171225855,88,885.0
